Sujeto,Etiqueta,Valor
1,MOGS,0.0550250000000094
1,MONGS,0.0944250000000073
1,TL,0.169050000000014
2,MOGS,0.618775000000026
2,MONGS,-0.548500000000029
2,TL,0.0666999999999849
3,MOGS,-0.0812249999999892
3,MONGS,0.215450000000008
3,TL,0.151799999999984
4,MOGS,0.0404500000000265
4,MONGS,0.118974999999977
4,TL,0.133700000000009
5,MOGS,-0.0326000000000093
5,MONGS,-0.0482499999999932
5,TL,-0.136100000000003
6,MOGS,-0.0349499999999896
6,MONGS,0.11387499999999
6,TL,0.0586500000000019
7,MOGS,-0.171299999999913
7,MONGS,0.134549999999945
7,TL,0.0658250000000047
8,MOGS,-0.340525000000028
8,MONGS,0.276200000000021
8,TL,0.00567500000001431
9,MOGS,0.0949999999999847
9,MONGS,0.139024999999991
9,TL,0.334074999999986
10,MOGS,0.393000000000065
10,MONGS,-0.281850000000032
10,TL,0.120150000000018
11,MOGS,0.404324999999949
11,MONGS,-0.09804999999995
11,TL,0.362250000000016
12,MOGS,0.110474999999985
12,MONGS,-0.0499250000000062
12,TL,0.0870249999999837
13,MOGS,0.412675000000046
13,MONGS,-0.0494500000000313
13,TL,0.494625
14,MOGS,0.288675000000003
14,MONGS,0.0563249999999726
14,TL,0.315149999999994
15,MOGS,-0.143950000000036
15,MONGS,0.171550000000031
15,TL,0.133150000000017
16,MOGS,0.757724999999972
16,MONGS,-0.583824999999991
16,TL,0.114624999999996
17,MOGS,0.923224999999944
17,MONGS,-0.604299999999948
17,TL,0.288875000000007
18,MOGS,0.482275000000001
18,MONGS,-0.171575000000038
18,TL,0.380574999999988
19,MOGS,0.252800000000029
19,MONGS,-0.107275000000019
19,TL,0.33110000000001
